,0
70,https://apps.usgs.gov/hivis/camera/IN_Wabash_River_at_New_Harmony
71,https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_POND
72,https://apps.usgs.gov/hivis/camera/NY_Keshequa_Creek_at_Craig_Colony_at_Sonyea_STAFF
73,https://apps.usgs.gov/hivis/camera/WI_MT2_STAFF
74,https://apps.usgs.gov/hivis/camera/MN_Knife_River_Near_Two_Harbors
75,https://apps.usgs.gov/hivis/camera/WI_RS2_FIELD
76,https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_4_near_Wrightstown_FLUME
77,https://apps.usgs.gov/hivis/camera/WI_AO2_FLUME_OVERVIEW
78,https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_De_Pere_Lock_above_upper_gate_pool
79,https://apps.usgs.gov/hivis/camera/WI_Green_Lake_Southwest_Inlet_at_HWY_K_near_Green_Lake_WETLAND
80,https://apps.usgs.gov/hivis/camera/WI_Wolf_River_at_New_London
81,https://apps.usgs.gov/hivis/camera/WI_Muskego_Wetland_Outlet
82,https://apps.usgs.gov/hivis/camera/WI_Eau_Galle_River_at_Spring_Green
83,https://apps.usgs.gov/hivis/camera/WI_Rock_River_at_Horicon
84,https://apps.usgs.gov/hivis/camera/CO_WILLOW_CREEK_HU
85,https://apps.usgs.gov/hivis/camera/OH_Outflow_tile_to_bioreactor_near_Mark_Center_BIOREACTOR
86,https://apps.usgs.gov/hivis/camera/WI_Dorn_Creek_at_HWY_M_nr_Waunakee
87,https://apps.usgs.gov/hivis/camera/IL_Fondulac_Reservoir_near_East_Peoria
88,https://apps.usgs.gov/hivis/camera/AK_Colville_River_at_Umiat
89,https://apps.usgs.gov/hivis/camera/WI_South_Fork_Pheasant_Branch_at_Deming_Way_at_Middleton
90,https://apps.usgs.gov/hivis/camera/AK_Yukon_River_at_Galena
91,https://apps.usgs.gov/hivis/camera/CO_Teller_Reservoir_near_Stone_City
92,https://apps.usgs.gov/hivis/camera/WI_Nemadji_River_near_South_Superior
93,https://apps.usgs.gov/hivis/camera/CA_Suisun_Bay_at_Channel_Marker_24A_near_Bay_Point
94,https://apps.usgs.gov/hivis/camera/WI_RS1_FIELD
95,https://apps.usgs.gov/hivis/camera/WI_Ashland_Breakwater_Lighthouse_Chequamegon_Bay_LIGHTHOUSE
96,https://apps.usgs.gov/hivis/camera/AK_Tyee_Lake_Outlet_near_Wrangell
97,https://apps.usgs.gov/hivis/camera/NY_Keshequa_Creek_at_Craig_Colony_at_Sonyea_DOWNSTREAM
98,https://apps.usgs.gov/hivis/camera/MI_Saginaw_River_at_Holland_Ave_at_Saginaw
