,USGS Site Number:,State:,CameraName:,Camera Description:,Latitude:,Longitude:,Timelapse Length:,Collection Interval:,Collection Window:
https://apps.usgs.gov/hivis/camera/IL_Chicago_Sanitary_and_Ship_Canal_near_Lemont_RISE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Black_River_near_Galesville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_KD2_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_East_River_at_N_Baird_Street_at_Green_Bay,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Milwaukee_River_Cherry_Street,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Congaree_River_below_Cayce_UPSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO1_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_Delaware_River_at_Penns_Landing_Philadelphia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Maumee_River_at_New_Haven,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Root_River_at_60th_Street_near_Caledonia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MT_Yellowstone_River_at_Miles_City,,,,,,,,,
https://apps.usgs.gov/hivis/camera/TX_Blanco_River_at_Crabapple_Road_near_Blanco,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Milwaukee_River_at_mouth_at_Milwaukee_DOWNSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Black_Fork_Mohican_River_at_Shelby,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Richelieu_River_at_Rouses_Point,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Elkhorn_River_at_West_Point,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Pecatonica_River_at_Martintown,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MA_Marconi_Beach_near_Wellfleet_CAMERA_1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OK_Illinois_River_near_Moodys,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Roy_Creek_at_Roy_Creek_Road_near_Green_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Green_Lake_Southwest_Inlet_at_HWY_K_near_Green_Lake_PTZ,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_East_Branch_Pecatonica_River_near_Blanchardville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/TX_New_Year_Ck_at_FM_1155_nr_Chappel_Hill,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_near_New_Munster_STANDPIPE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Badfish_Creek_nr_Cooksville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Bois_Brule_River_at_Brule,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_LE_SUEUR_RIVER_NEAR_RAPIDAN_MN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Denomie_Creek_at_Aspen_Acres,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_LITTLE_MINNESOTA_RIVER_NEAR_PEEVER_SD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_Eel_River_at_Fernbridge,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Slate_River_above_O_B_J_Creek_near_Crested_Butte,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Unalakleet_C1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Treatment_Wetland_2_Surface_Inlet_near_Kaukauna_Wetland_Overview,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GU_Adelup_Point_CAMERA_2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Tearcoat_Branch_at_I_95_near_Manning_DOWNSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Auglaize_River_near_Kossuth,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Big_Creek_near_Brooklyn,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_Mokelumne_River_at_Andrus_Island_near_Terminous,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Clover_Groff_Ditch_below_Alton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Plum_Creek_near_Wrightstown,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Minnehaha_Creek_at_Hiawatha_Ave_in_Minneapolis,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_WHETSTONE_RIVER_NEAR_BIG_STONE_CITY_SD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OR_Breitenbush_River_above_French_Creek_near_Detroit,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Little_Menomonee_River_near_Freistadt,,,,,,,,,
https://apps.usgs.gov/hivis/camera/VA_Beggars_Cr_nr_Dawley_Corners_RSIE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/TX_Zacate_Creek_at_Jacaman_Road_Laredo,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Bioreactor_outlet_near_Duvall_OUTLET_AGRIDRAIN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_near_New_Munster_NORMAL_LENS,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Clam_River_at_Soderberg_Road_near_Siren,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Dutchman_Creek_at_Hansen_Road_at_Ashwaubenon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_Briar_Creek_at_Providence_Road_at_Charlotte,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Maumee_River_at_Antwerp,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_5_near_Wrightstown_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_St_Croix_River_near_Danbury,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Pocotaligo_River_at_I_95_above_Manning_UPSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Eagle_Bay_Tributary_at_Lake_Redstone_near_La_Valle,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AL_Hydrologic_Instrumentation_Facility_(HIF)_construction,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Glacial_Lake_2_and_half_miles_North_of_Nugget_Creek_near_Auke_Bay,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT2_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Little_Menomonee_River_near_Freistadt_FISH_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_Windsor,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_MISSISSIPPI_RIVER_AT_HWY_610_IN_BROOKLYN_PARK_MN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Clam_River_above_Clam_Dam_near_Siren,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Bean_Creek_at_Powers,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Black_Earth_Creek_near_Brewery_Road_at_Cross_Plains,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_West_of_Bull_Rapids_Road_near_Harlan_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_Lake_Johnson_above_Dam_at_Raleigh,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Tearcoat_Branch_at_I_95_near_Manning_UPSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Yellow_River_at_Babcock,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PR_Isla_Verde_Camera_1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Chippewa_River_at_Durand,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IL_Illinois_River_at_Florence,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OR_Luckiamute_River_near_Parker,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Sheboygan_River_at_Sheboygan,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Pomme_de_Terre_River_at_Appleton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_PEKOSOFT_East_Branch_Brandywine_Creek_below_Downingtown,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Appleton_Lower_Lock_above_hydro_intake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Auglaize_River_near_Defiance,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO2_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Leshara,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Fremont,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Princeton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Outflow_tile_to_bioreactor_near_Mark_Center_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Yellow_River_near_Snellville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO1_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Outflow_tile_to_bioreactor_near_Mark_Center_STREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_KD1_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Sixmile_Creek_at_HWY_19_near_Waunakee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Chattahoochee_River_at_Helen,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Minnehaha_Creek_below_Grays_Bay_Dam_in_Minnetonka,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Big_Creek_near_Alpharetta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_RS1_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Skaneateles_Lake_at_Skaneateles,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Green_Lake_Inlet_at_HWY_A_near_Green_Lake_WETLAND,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Menomonee_River_at_Wauwatosa_ABOVE_WATER_FISH_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Keshequa_Creek_UPSTREAM_WEIR,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Red_Cloud_River_at_Anton_Larsen_Bay_near_Kodiak,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Pheasant_Branch_at_Middleton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NM_Storrie_Lake_Diversion_near_Montezuma,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Rocky_Branch_at_Whaley_Street_Columbia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Underwood_Creek_at_Wauwatosa_ABOVE_WATER_FISH_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Fritse_Park_at_Neenah,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Kawkawlin_River_at_State_Park_Dr_at_Bay_City,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_South_Branch_Rock_River_at_Waupun,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_above_Cedars_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Pocotaligo_River_at_I_95_above_Manning_DOWNSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Treatment_Wetland_2_Drain_Tile_near_Kaukauna,,,,,,,,,
https://apps.usgs.gov/hivis/camera/VA_Little_Neck_Creek_at_Pinewood_Road_at_Virginia_Beach,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Salmon_River_near_Hyder,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Ashwaubenon_Creek_near_Little_Rapids,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MA_Head_of_the_Meadow_Beach_near_Truro_CAMERA_2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_St_Marys_River_at_Sault_Ste_Marie,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Pine_River_below_Pine_River_Powerplant_near_Florence,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Kearney_Outdoor_Learning_Area_RISE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_NY_Neversink_Godeffroy_RISE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_KD1_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_Santa_Ana_River_below_Prado_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_YELLOW_BANK_RIVER_NEAR_ODESSA_MN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_South_Buffalo_Creek_near_Pomona,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Sarett_Nature_Center_Fen_met_station_Berrien_County,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_West_Branch_Susquehanna_River_at_Lewisburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Fourmile_Creek_at_Orodell,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_San_Lorenzo_River_at_Big_Trees,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Hay_River_at_Wheeler,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Taku_River_near_Juneau,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Lower_River_Rouge_at_Dearborn_STANDPIPE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Clinton_River_at_Moravian_Drive_at_Mount_Clemens,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_East_River_Waterway_SW3_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Lynches_River_at_I95_above_Olanta_UPSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Black_River_at_I_95_near_Manning_UPSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Wurches_Creek_at_County_HWY_B_near_Green_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Duck_Creek_near_Howard_DOWNSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Roseau_River_below_South_Fork_near_Malung,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GU_Adelup_Point_CAMERA_1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Big_Rib_River_at_Rib_Falls,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_MF_Bradley_River_below_NF_Bradley_River_near_Homer,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Oak_Creek_at_South_Milwaukee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_St_Marys_River_near_Fort_Wayne,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Ashland,,,,,,,,,
https://apps.usgs.gov/hivis/camera/TX_Medina_Lake_near_San_Antonio,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NM_Pecos_Web_Camera_near_Roswell,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_5_near_Wrightstown_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Manhole_West_Delavan_Ave_110_ft_west_of_Niagara_Street,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Pine_River_at_Pine_River_Road_near_Standish,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Martin_Meadowlark_Bay_Tributary_at_Lake_Redstone_near_La_Valle,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AZ_National_Data_Conference_2023_DCP_Vivotek,,,,,,,,,
https://apps.usgs.gov/hivis/camera/FL_Cypress_Creek_at_County_Line_Rad_at_Wesley_Chapel,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_near_New_Munster_TELEPHOTO_LENS,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Lower_River_Rouge_at_Dearborn,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Puchyan_River_Downstream_of_North_Lawson_Driver_near_Green_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Drywood_Creek_at_Covered_Footbridge_near_Cadott,,,,,,,,,
https://apps.usgs.gov/hivis/camera/FL_Hillsborough_River_above_Crystal_Springs_near_Zephyrhills,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Stillwell_Creek_at_Yard_Road_near_Tomah,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Colorado_River_above_Roaring_Fork_River_at_Glenwood_Springs,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Mississippi_River_at_St_Paul,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_River_Rouge_at_Detroit_STANDPIPE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_Little_Hope_Creek_at_Seneca_Place_at_Charlotte,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Willow_River_at_Willow_River_State_Park_near_Burkhardt,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Peachtree_Creek_at_Atlanta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Mississippi_River_at_HWY_610_in_Brooklyn_Park,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Sixmile_Creek_at_Woodland_Drive_near_Waunakee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_East_Main_St_at_Madison,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Oconto_River_near_Gillett,,,,,,,,,
https://apps.usgs.gov/hivis/camera/FL_Anclote_River_at_Little_Road_near_Elfers,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Flint_River_at_Albany,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Sugar_River_near_Brodhead,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Bois_De_Sioux_River_near_Doran,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Peshtigo_River_at_Porterfield,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Clinton_River_at_Moravian_Drive_at_Mount_Clemens_STANDPIPE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_French_Broad_River_at_Asheville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Pike_River_near_Racine,,,,,,,,,
https://apps.usgs.gov/hivis/camera/GA_Withlacoochee_River_at_Skipper_Bridge_Road_near_Bemiss,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Platter_Creek_near_Sherwood,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PR_Dorado_Camera_2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Elkhorn_River_at_Waterloo,,,,,,,,,
https://apps.usgs.gov/hivis/camera/ME_Kennebec_River_at_Calumet_Bridge_at_Augusta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PR_Isla_Verde_Camera_2,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Duncan,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Tile_Drain_to_Mill_Creek_near_Waldron_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_Brandywine_Creek_RISE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Chippewa_River_at_Grand_Ave_at_Eau_Claire,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_Dutch_Slough_below_Jersey_Island_Road_at_Jersey_Island,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO3_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Blanchard_River_near_Dupont,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Chaffe_Creek_at_HWY_39_near_Coloma,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Lake_Winnebago_at_Jefferson_Park,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Redwood_River_near_Redwood_Falls,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_St_Croix_River_at_Stillwater,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_East_River_at_HWY_ZZ_near_Greenleaf,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_False_River_Near_Oakley,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Congaree_River_at_US_HWY_601_near_Fort_Motte,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Honey_Creek_at_Wauwatosa,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_OTTER_TAIL_RIVER_NEAR_ELIZABETH_MN,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01310740_NY_Reynolds_Channel_at_Point_Lookout,,,,,,,,,
https://apps.usgs.gov/hivis/camera/FL_Madeira_Beach,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Niagara_Street_Green_Infrastructure,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_Truckee_River_at_Boca_Bridge_near_Truckee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WA_Cowlitz_River_at_Castle_Rock,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Chippewa_River_below_Dells_Dam_at_Eau_Claire_CONTROL,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Blue_River_Below_Dillon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Little_Plover_River_near_Plover,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_La_Crosse_River_at_HWY_BB_near_Tomah,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MA_West_Brook_RISE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_East_Branch_Big_Creek_at_La_Valle_Road_near_La_Valle,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Yahara_River_near_Fulton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_White_Creek_at_Spring_Grove_Road_near_Green_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_WET1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_Appleton_Lower_Lock_above_upper_gate_pool,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_West_Branch_Big_Creet_at_Clark_Road_near_La_Valle,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Sebewaing_River_at_Center_Street_at_Sebewaing,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NM_Gavilan_Canyon_at_Skunk_Canyon_near_Hollywood,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Ashland_Breakwater_Lighthouse_Chequamegon_Bay,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_East_of_Bull_Rapids_Road_near_Harlan_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Colorado_River_at_Windy_Gap_near_Granby,,,,,,,,,
https://apps.usgs.gov/hivis/camera/ME_Penobscot_River_at_Bangor,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Unnamed_Tributary_above_wetland_near_Winn_Road_near_Defiance_CULVERT,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AZ_National_Data_Conference_2023__RPi_Camera,,,,,,,,,
https://apps.usgs.gov/hivis/camera/ME_St_John_River_at_Dickey,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Niagara_Street_Green_Infrastructure_PTZ_Camera,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01427500_NY_Callicoon_Ck_Callicoon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06414000_SD_RapidCr_Rapid_City,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01351298_NY_Cobleskill_Creek_Cobleskill,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01427510_NY_Delaware_River_Callicoon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06471000_SD_JamesR_Columbia,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08093350_TX_Aquilla_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08072500_TX_Barker_Res_nr_Addicks,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06476000_SD_JamesR_Huron,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01349705_NY_Schoharie_Creek_Lexington,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0131079450_NY_Hempstead_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06485500_IA_BigSiouxR_Akron,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01374890_NY_Cross_River_Cross_River,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01365500_NY_Chestnut_Creek_Grahamsville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/777777_HABS_Rapid_Croche,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01435000_NY_Neversink_Claryville_VISIBLE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06412500_SD_Rapid_Creek_above_Canyon_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13139510_ID_Big_Wood_River_Hailey,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13130300_ID_Big_Lost_River_Leslie,,,,,,,,,
https://apps.usgs.gov/hivis/camera/403859074555201_NJ_Spruce_Run_Reservoir,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0137462010_NY_WB_CrotonR_Carmel,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01311500_NY_Valley_Stream_Valley_Stream,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01363556_NY_Esopus_Creek_Lomontville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01349000_NY_Otsquago_Creek_Fort_Plain,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01387000_NJ_WanaqueR_Wanaque,,,,,,,,,
https://apps.usgs.gov/hivis/camera/08051100_TX_Ray_Roberts_Lake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0204309906_VA_Ramsgate,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06337000_ND_Little_MissouriR_Watford,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01359528_NY_Normans_Kill_Albany,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01480000_DE_RedClay_Wooddale,,,,,,,,,
https://apps.usgs.gov/hivis/camera/06335500_ND_Little_Missouri_R_Marmarth,,,,,,,,,
https://apps.usgs.gov/hivis/camera/0204288905_VA_BaileyCR_Chesapeake,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01374901_NY_Cross_River_Katonah,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13342500_ID_Clearwater_River_Spalding,,,,,,,,,
https://apps.usgs.gov/hivis/camera/05051600_ND_WildRiceR_Rutland,,,,,,,,,
https://apps.usgs.gov/hivis/camera/13258500_ID_Weiser_River_Cambridge,,,,,,,,,
https://apps.usgs.gov/hivis/camera/12131300_WA_BoltCk_Skykomish,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01388910_NJ_PomptonR_MtView,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01365550_NY_Chestnut_Creek_Mouth_Grahamsville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01411330_NJ_Beach_Thorofare_Margate,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01310500_NY_East_Meadow_Brook_Freeport,,,,,,,,,
https://apps.usgs.gov/hivis/camera/01185500_MA_WB_FarmingtonR_NewBoston,,,,,,,,,
