,USGS Site Number:,State:,CameraName:,Camera Description:,Latitude:,Longitude:,Timelapse Length:,Collection Interval:,Collection Window:
https://apps.usgs.gov/hivis/camera/WI_Bark_River_near_Rome,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Unnamed_Tributary_above_wetland_near_Winn_Road_near_Defiance_STREAM_CONTROL,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_East_River_Waterway_SW3_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Bradly_River_near_Tidewater_near_Homer,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT1_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_River_Rouge_at_Detroit,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Schuyler,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Root_River_Canal_near_Franklin,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Swan_Creek_at_Lalor_Road_near_Fitchburg,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Tiffin_River_near_Evansport,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MA_Head_of_the_Meadow_Beach_near_Truro_CAMERA_1,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Dutchman_Creek_at_Cyrus_Street_near_Ashwaubenon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Treatment_Wetland_2_Surface_Inlet_near_Kaukauna_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Clear_Creek_at_Golden,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_South_Branch_Tenmile_Creek_near_Bancroft,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Congaree_River_below_Cayce_DOWNSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Kinnickinnic_River_near_River_Falls_RIVER,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WA_Columbia_River_at_Vancouver,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Milwaukee_River_near_Cedarburg_DOWNSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_above_Little_Kaukauna_Dam,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Gunnison_River_near_Grand_Junction_RISE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO1_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_RS2_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Sixmile_Creek_at_HWY_M_near_Waunakee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_WILLOW_CREEK_VI,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Peshtigo_River_at_Peshtigo,,,,,,,,,
https://apps.usgs.gov/hivis/camera/TX_Blanco_River_at_Wimberley,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OR_Columbia_River_at_Port_Westward_near_Quincy,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Little_Flatrock_Creek_near_Junction,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_St_Marys_River_near_Fort_Wayne_DOWNSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_La_Crosse_River_at_Sparta,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT3_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Overland_Flow_East_of_Bull_Rapids_Road_near_Harlan_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Root_River_near_Franklin,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Yahara_River_at_Forton_Street_Bridge_at_Stoughton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Big_Eau_Pleine_River_at_Stratford,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NE_Platte_River_near_Overton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Green_Tech_Biofilter_INLET_at_Milwaukee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/SC_Lynches_River_at_I95_above_Olanta_DOWNSTREAM_CAMERA,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IN_Wabash_River_at_New_Harmony,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Inflow_to_wetland_near_Winn_Road_near_Defiance_POND,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Keshequa_Creek_at_Craig_Colony_at_Sonyea_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT2_STAFF,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MN_Knife_River_Near_Two_Harbors,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_RS2_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_GLRI_Waterway_Number_4_near_Wrightstown_FLUME,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO2_FLUME_OVERVIEW,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Fox_River_at_De_Pere_Lock_above_upper_gate_pool,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Green_Lake_Southwest_Inlet_at_HWY_K_near_Green_Lake_WETLAND,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Wolf_River_at_New_London,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Muskego_Wetland_Outlet,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Eau_Galle_River_at_Spring_Green,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Rock_River_at_Horicon,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_WILLOW_CREEK_HU,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OH_Outflow_tile_to_bioreactor_near_Mark_Center_BIOREACTOR,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Dorn_Creek_at_HWY_M_nr_Waunakee,,,,,,,,,
https://apps.usgs.gov/hivis/camera/IL_Fondulac_Reservoir_near_East_Peoria,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Colville_River_at_Umiat,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_South_Fork_Pheasant_Branch_at_Deming_Way_at_Middleton,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Yukon_River_at_Galena,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CO_Teller_Reservoir_near_Stone_City,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Nemadji_River_near_South_Superior,,,,,,,,,
https://apps.usgs.gov/hivis/camera/CA_Suisun_Bay_at_Channel_Marker_24A_near_Bay_Point,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_RS1_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_Ashland_Breakwater_Lighthouse_Chequamegon_Bay_LIGHTHOUSE,,,,,,,,,
https://apps.usgs.gov/hivis/camera/AK_Tyee_Lake_Outlet_near_Wrangell,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NY_Keshequa_Creek_at_Craig_Colony_at_Sonyea_DOWNSTREAM,,,,,,,,,
https://apps.usgs.gov/hivis/camera/MI_Saginaw_River_at_Holland_Ave_at_Saginaw,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT2_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/NC_Walnut_Creek_at_South_State_Street_at_Raleigh,,,,,,,,,
https://apps.usgs.gov/hivis/camera/PA_Oil_Creek_at_Rouseville,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_AO3_FIELD,,,,,,,,,
https://apps.usgs.gov/hivis/camera/OR_McKenzie_River_near_Vida,,,,,,,,,
https://apps.usgs.gov/hivis/camera/WI_MT1_FIELD,,,,,,,,,
